idx,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,cloudcover,solarradiation,solarenergy,solartime
0,2025-01-01,29.0,16.1,22.0,15.8,70.6,0.0,0,0.0,3.2,212.9,18.5,662.33
1,2025-01-02,30.8,14.9,22.1,13.6,63.1,0.0,0,0.0,8.9,218.2,18.8,662.62
2,2025-01-03,29.3,12.9,21.0,10.4,56.5,0.0,0,0.0,30.0,222.0,19.2,662.92
3,2025-01-04,29.8,11.2,20.0,8.6,51.8,0.0,0,0.0,3.9,224.0,19.4,663.23
4,2025-01-05,30.1,12.2,20.7,10.2,54.5,0.0,0,0.0,20.6,217.9,18.9,663.58
5,2025-01-06,30.6,15.1,21.2,13.3,64.7,0.0,0,0.0,2.2,218.9,18.9,663.95
6,2025-01-07,28.3,13.4,20.4,12.4,62.7,0.0,0,0.0,0.0,219.9,19.0,664.35
7,2025-01-08,28.3,14.1,20.2,12.6,64.0,0.0,0,0.0,56.8,218.9,18.7,664.77
8,2025-01-09,27.3,12.7,19.9,10.5,57.2,0.0,0,0.0,50.3,221.9,19.1,665.2
9,2025-01-10,27.6,12.2,20.2,11.8,60.5,0.0,0,0.0,65.2,220.3,18.9,665.65
10,2025-01-11,28.4,14.9,20.9,14.3,68.2,0.0,0,0.0,46.5,205.4,17.8,666.13
11,2025-01-12,28.0,16.2,21.5,15.5,71.1,0.0,0,0.0,46.9,197.1,17.0,666.63
12,2025-01-13,28.0,17.7,22.0,15.4,67.9,0.0,0,0.0,23.4,211.4,18.1,667.15
13,2025-01-14,29.3,16.4,22.6,15.7,67.0,0.0,0,0.0,27.4,211.0,18.3,667.7
14,2025-01-15,29.3,17.1,23.2,16.4,67.9,0.0,0,0.0,63.6,202.5,17.5,668.25
15,2025-01-16,30.6,18.1,23.1,16.2,69.1,0.0,0,0.0,52.4,189.9,16.4,668.82
16,2025-01-17,28.8,16.4,22.3,14.7,64.6,0.0,0,0.0,14.2,222.2,19.1,669.42
17,2025-01-18,28.6,14.4,21.4,12.4,59.9,0.0,0,0.0,0.6,228.4,19.8,670.03
18,2025-01-19,29.1,13.4,21.1,12.6,60.3,0.0,0,0.0,3.0,226.3,19.5,670.67
19,2025-01-20,29.6,13.9,21.5,12.8,60.7,0.0,0,0.0,7.8,226.3,19.5,671.32
20,2025-01-21,31.1,13.9,21.8,12.4,59.1,0.0,0,0.0,8.9,230.1,20.0,671.97
21,2025-01-22,31.6,14.9,22.3,12.3,58.6,0.0,0,0.0,0.0,233.2,20.2,672.65
22,2025-01-23,31.4,14.9,22.5,13.8,63.5,0.0,0,0.0,11.3,232.7,20.1,673.37
