name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Pashan, Pune, MH, India",2025-01-01,29,16.1,22,28.9,16.1,22,15.8,70.6,0,0,0,,0,0,34.6,12.6,77.2,1015.4,3.2,18,212.9,18.5,8,10,2025-01-01T07:07:20,2025-01-01T18:09:40,0.05,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
"Pashan, Pune, MH, India",2025-01-02,30.8,14.9,22.1,29.3,14.9,21.9,13.6,63.1,0,0,0,,0,0,34.6,14,78.6,1015.2,8.9,18.1,218.2,18.8,8,10,2025-01-02T07:07:40,2025-01-02T18:10:17,0.08,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
"Pashan, Pune, MH, India",2025-01-03,29.3,12.9,21,27.7,12.9,20.7,10.4,56.5,0,0,0,,0,0,34.6,14,83.8,1015.7,30,18.1,222,19.2,8,10,2025-01-03T07:07:59,2025-01-03T18:10:54,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
"Pashan, Pune, MH, India",2025-01-04,29.8,11.2,20,28.5,11.2,19.8,8.6,51.8,0,0,0,,0,0,28.4,10.8,85,1014.4,3.9,18.1,224,19.4,8,10,2025-01-04T07:08:17,2025-01-04T18:11:31,0.15,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
"Pashan, Pune, MH, India",2025-01-05,30.1,12.2,20.7,28.5,12.2,20.4,10.2,54.5,0,0,0,,0,0,23,8.3,97.5,1013.5,20.6,17.8,217.9,18.9,8,10,2025-01-05T07:08:33,2025-01-05T18:12:08,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
"Pashan, Pune, MH, India",2025-01-06,30.6,15.1,21.2,29.4,15.1,21,13.3,64.7,0,0,0,,0,0,21.6,8.6,331.1,1013.1,2.2,19,218.9,18.9,8,10,2025-01-06T07:08:49,2025-01-06T18:12:46,0.23,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
"Pashan, Pune, MH, India",2025-01-07,28.3,13.4,20.4,27.6,13.4,20.4,12.4,62.7,0,0,0,,0,0,34.9,12.2,67.8,1013.9,0,1102.1,219.9,19,8,10,2025-01-07T07:09:03,2025-01-07T18:13:24,0.25,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
"Pashan, Pune, MH, India",2025-01-08,28.3,14.1,20.2,28.4,14.1,20.2,12.6,64,0,0,0,,0,0,32.4,12.2,83.3,1014,56.8,18.1,218.9,18.7,8,10,2025-01-08T07:09:16,2025-01-08T18:14:02,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
"Pashan, Pune, MH, India",2025-01-09,27.3,12.7,19.9,26.8,12.7,19.9,10.5,57.2,0,0,0,,0,0,34.9,14.4,91.7,1014.4,50.3,18.1,221.9,19.1,8,10,2025-01-09T07:09:28,2025-01-09T18:14:40,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
"Pashan, Pune, MH, India",2025-01-10,27.6,12.2,20.2,27.2,12.2,20.2,11.8,60.5,0,0,0,,0,0,30.2,11.2,95.4,1015.4,65.2,17.9,220.3,18.9,8,10,2025-01-10T07:09:39,2025-01-10T18:15:18,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
